,idmb_id,plot,SentimentScore Military,OverallSentiment Military,SentimentScore Army,OverallSentiment Army,SentimentScore AirForce,OverallSentiment AirForce,SentimentScore Navy,OverallSentiment Navy,SentimentScore War,OverallSentiment War,SentimentScore Marine,OverallSentiment Marine
203,tt0080689,"the decision to drop the atom bomb, the secrecy surrounding the mission, and the men who flew it.","[0.10065381, 0.8842173, 0.01512879]",1,"[0.07787508, 0.9137232, 0.008401744]",1,"[0.14554277, 0.7961768, 0.058280457]",1,"[0.07083975, 0.9164989, 0.012661339]",1,"[0.27762184, 0.6897907, 0.03258746]",1,"[0.18985793, 0.7716269, 0.03851519]",1
204,tt0058060,"1945, on an old cargo ship somewhere deep in the pacific ocean: captain morton strives to become commander, so he demands the maximum quality of work from his crew, without granting them any freedom or favors ignoring that they're thousand of miles away from the front. in one word: he drives his crew crazy. they are near mutiny, but no one dares to do the first step. until ensign pulver plays a prank on the captain that triggers fatal consequences...","[0.1944207, 0.77010673, 0.035472576]",1,"[0.17354764, 0.8036626, 0.022789761]",1,"[0.24528936, 0.7016446, 0.053066023]",1,"[0.2234322, 0.6964418, 0.08012601]",1,"[0.6740895, 0.2627835, 0.06312701]",0,"[0.26810288, 0.6874601, 0.044437]",1
205,tt0095107,an obnoxious and bumbling but well meaning man attempts to help santa claus find a successor. failure wouild mean that there would be no christmas.,"[0.039242905, 0.9537397, 0.007017388]",1,"[0.03740827, 0.95433825, 0.008253456]",1,"[0.077396914, 0.8947372, 0.027865915]",1,"[0.057150226, 0.92629516, 0.016554544]",1,"[0.2534525, 0.70653033, 0.04001721]",1,"[0.034386583, 0.9555391, 0.010074286]",1
206,tt0048047,rear adm. john m. hoskins sterling hayden fights to stay on after losing a leg on an aircraft carrier in world war ii.,"[0.1889988, 0.20775148, 0.6032497]",2,"[0.28608567, 0.6558087, 0.058105636]",1,"[0.36274287, 0.24433136, 0.3929258]",2,"[0.39062446, 0.36948043, 0.23989512]",0,"[0.6296345, 0.026746217, 0.34361926]",0,"[0.39236426, 0.35077173, 0.25686407]",0
207,tt1430615,an animal loving volunteer and a small town news reporter are joined by a native alaskan boy to rally an entire community and eventually rival world superpowers to save a family of majestic gray whales trapped by rapidly forming ice in the arctic circle.,"[0.3240786, 0.62248033, 0.053441096]",1,"[0.23916131, 0.728873, 0.031965718]",1,"[0.4012519, 0.4403933, 0.15835477]",1,"[0.25662968, 0.6846831, 0.05868724]",1,"[0.76129234, 0.16627374, 0.07243383]",0,"[0.43141407, 0.48599556, 0.08259036]",1
208,tt0071477,"the story of eddie slovik, who was executed by the army in 1945, the only american soldier to be executed for desertion since the civil war.","[0.662487, 0.27251595, 0.06499704]",0,"[0.8953205, 0.046210796, 0.058468744]",0,"[0.6212809, 0.31502414, 0.063694924]",0,"[0.7992516, 0.14003916, 0.06070925]",0,"[0.9382927, 0.021801107, 0.039906234]",0,"[0.7110319, 0.2519881, 0.036979955]",0
209,tt0116253,"terrorists take over a 747 bound from athens to washington d.c., supposedly to effect the release of their leader. intelligence expert david grant suspects another reason and convinces the military that the 'plane should not be allowed to enter u.s. airspace. an assault mission is devised, using a specially equipped 'plane designed for mid air crew transfers, and grant finds himself aboard the 747 with a team of military anti terrorists who have to defuse a bomb and overpower the terrorists.","[0.85908663, 0.12122303, 0.01969038]",0,"[0.57002914, 0.40154707, 0.028423836]",0,"[0.55527604, 0.36947533, 0.07524865]",0,"[0.5073105, 0.45106396, 0.0416255]",0,"[0.82764745, 0.15463208, 0.017720504]",0,"[0.7057784, 0.26638728, 0.027834289]",0
210,tt0064307,"lt. commander finchhaven, a ghostly relic from the first world war, he had fallen down dead drunk on his first assignment and been consigned from the great beyond to sail the seas until a further opportunity arises to redeem his actions. during the second world war, he is encountered by a quartet of american seamen that includes lt. morton krim and cook w.j. oglethorpe. a deal is completed whereby the men will help re float finchhaven's command in return for a passage to australia. they raid a village to secure batteries for the engine and come upon the feisty jennifer winslow who offers them aid in return for a passage with the crew. eventually they reach the open sea. finchhaven's ghostly status is revealed and lt. krim and jennifer help him to sink a japanese cruiser.","[0.46893492, 0.19478509, 0.33627993]",0,"[0.6638391, 0.20223424, 0.13392667]",0,"[0.55869335, 0.12780629, 0.31350034]",0,"[0.430042, 0.1976568, 0.3723012]",0,"[0.8613852, 0.027356992, 0.11125779]",0,"[0.3275071, 0.06419461, 0.6082983]",2
211,tt0169885,most powerful vietnam war doco not available except on facebook page,"[0.47803047, 0.23400457, 0.2879649]",0,"[0.37890875, 0.4638475, 0.15724382]",1,"[0.3680566, 0.47059414, 0.1613493]",1,"[0.38473082, 0.30951738, 0.30575186]",0,"[0.20064902, 0.083167695, 0.7161833]",2,"[0.5113634, 0.32085624, 0.16778038]",0
212,tt0235376,cold war tensions climb to a fever pitch when a u.s. bomber is accidentally ordered to drop a nuclear warhead on moscow.,"[0.47847077, 0.50384176, 0.017687496]",1,"[0.42150676, 0.5636911, 0.014802188]",1,"[0.44350645, 0.4805833, 0.07591026]",1,"[0.4943498, 0.47060552, 0.0350447]",0,"[0.75734955, 0.10750272, 0.1351478]",0,"[0.75485384, 0.19926214, 0.04588396]",0
213,tt0444626,"john mccain is a poor student, except at wrestling, but toughs it out in annapolis at the us naval academy with the goal of becoming a career naval officer like his father and grandfather, who were both admirals. love at first sight leads to a marriage and children with carole. during the vietnam war, he's shot down and captured by the vietcong, who torture american pows. he resists years of torture and misery, only breaking once due to his busted limbs, and eventually returning home after five and one half years in captivity.","[0.10371938, 0.875926, 0.02035452]",1,"[0.13729577, 0.84639513, 0.016309053]",1,"[0.15616743, 0.7897856, 0.05404694]",1,"[0.1032758, 0.84172684, 0.054997414]",1,"[0.93103606, 0.03999881, 0.028965143]",0,"[0.16685939, 0.78863835, 0.044502262]",1
214,tt0099543,"park any subtlety at the threshold. the spits and spats keep the anchor shining in this naval officer adventure. who knows what is next? the children are precious. the interplay between home, the office, and the boat keep you edgy. sadness sets in as you see the decline of loyalty to purpose.","[0.049268037, 0.8598667, 0.090865284]",1,"[0.036011077, 0.9362118, 0.027777046]",1,"[0.049973343, 0.8775753, 0.07245144]",1,"[0.10669538, 0.50743914, 0.3858655]",1,"[0.082315974, 0.7532305, 0.16445352]",1,"[0.040970188, 0.85150313, 0.10752668]",1
215,tt0097336,"in real life, robert oppenheimer was the scientific head of the manhattan project, the secret wartime project in new mexico where the first atomic bombs were designed and built. general leslie groves was in overall command of it. this film reenacts the project with an emphasis on their relationship.","[0.6669428, 0.29279372, 0.04026357]",0,"[0.44992435, 0.53170174, 0.018373935]",1,"[0.52070916, 0.45159757, 0.02769333]",0,"[0.36051828, 0.60562426, 0.0338575]",1,"[0.5043635, 0.06357066, 0.43206584]",0,"[0.6424017, 0.33056614, 0.027032156]",0
216,tt0087244,"in 1970, military doctor jeffrey mcdonald reports a hideous and confusing story: a gang of hippies akin to the manson family broke into his north carolina home and slaughtered his wife and two daughters, while somehow only wounding him slightly as he tried to fight them off. as mcdonald continues to proclaim his innocence, his skeptical father in law freddy kassab and investigative journalist joe mcginniss probe his story to uncover the truth.","[0.11891651, 0.8644681, 0.016615428]",1,"[0.32342973, 0.6540616, 0.022508672]",1,"[0.47967184, 0.48294774, 0.03738049]",1,"[0.2252173, 0.74935997, 0.025422715]",1,"[0.23536628, 0.7487362, 0.015897455]",1,"[0.5798881, 0.40188006, 0.018231869]",0
217,tt0058092,during world war ii south sea beachcomber walter eckland is persuaded to spy on planes passing over his island. he gets more than he bargained for as schoolteacher catherine frenau arrives on the run from the japanese with her pupils in tow!,"[0.52670574, 0.43586457, 0.037429705]",0,"[0.44500935, 0.5197345, 0.035256233]",1,"[0.52686447, 0.35580102, 0.117334485]",0,"[0.3305577, 0.62153244, 0.047909923]",1,"[0.90201783, 0.017751709, 0.08023048]",0,"[0.6725732, 0.25610697, 0.071319796]",0
218,tt0101871,"sergeant thomas duncan takes his men behind enemy lines to recover a secret government fighter copter and its pilot, a secret weapon all his own. but once stationed in the dense jungle ...","[0.5661928, 0.07668214, 0.35712504]",0,"[0.47613147, 0.2031483, 0.32072026]",0,"[0.49514547, 0.24440081, 0.26045367]",0,"[0.4983342, 0.2408076, 0.26085818]",0,"[0.86919665, 0.011326497, 0.119476855]",0,"[0.58417183, 0.0970482, 0.31877998]",0
219,tt0045765,"world war ii action in italy involving fighter pilot's last sortie, and the help he receives from italian partisans in an effort to complete it.","[0.10451637, 0.043602087, 0.85188156]",2,"[0.33259484, 0.16244252, 0.5049627]",2,"[0.12195025, 0.04017067, 0.83787906]",2,"[0.18964458, 0.07978766, 0.73056775]",2,"[0.14773689, 0.011421784, 0.8408413]",2,"[0.38221562, 0.15593764, 0.46184677]",2
220,tt0040353,"at an american air base in england, 1943, is conniving sergeant dolan, who manipulates everyone, and insubordinate ace fighter pilot major ed hardin. when ed is promoted to commander of his group, he must fight his former anti authority stance as well as the enemy; tension grows as d day approaches. generally lighthearted between moments of technicolor gore; lots of air combat footage, much of it genuine.","[0.4019549, 0.30952427, 0.28852084]",0,"[0.3713896, 0.5668011, 0.061809387]",1,"[0.33892584, 0.30939296, 0.35168123]",2,"[0.30054918, 0.5109457, 0.18850519]",1,"[0.6998344, 0.12694214, 0.17322344]",0,"[0.38644928, 0.4603606, 0.1531901]",1
221,tt0036824,"construction workers in world war ii in the pacific are needed to build military sites, but the work is dangerous and they doubt the ability of the navy to protect them. after a series of attacks by the japanese, something new is tried, construction battalions cbs seabees. the new cbs have to both build and be ready to fight.","[0.6074385, 0.36053208, 0.03202947]",0,"[0.58173764, 0.40201414, 0.016248172]",0,"[0.49866688, 0.46968895, 0.03164416]",0,"[0.010016106, 0.98453265, 0.0054513053]",1,"[0.8445301, 0.12550409, 0.02996584]",0,"[0.5473379, 0.43360245, 0.019059649]",0
222,tt0104265,"a psychiatrist gere has an affair with his patient's sister basinger who is married to a greek mobster roberts. the mobster is a tyrant over his wife. the psychiatrist wants her to get a divorce, but she is afraid of what her husband would do. she has a medical condition that becomes apparent when she drinks. one night she drinks anyway and attacks her husband. the psychiatrist uses his professional pull to try and help her out of the consequences of her actions, but becomes uncertain if she is telling him the truth.","[0.13138577, 0.856325, 0.012289343]",1,"[0.10769637, 0.8748667, 0.017436849]",1,"[0.17811121, 0.79648817, 0.025400646]",1,"[0.096607424, 0.8526464, 0.05074619]",1,"[0.14778236, 0.8297835, 0.022434173]",1,"[0.25532845, 0.71955305, 0.025118472]",1
223,tt0080736,"in 1980, the assistant of the department of defense warren lasky is assigned by his mysterious chief richard tideman to visit the aircraft carrier uss nimtz commanded by capt. matthew yelland as an observer of the routines. lasky finds that wing commander richard t. owens has a great knowledge of history. out of the blue, the vessel faces a weird storm and they find that they have traveled back in time to the eve of the attack of pearl harbor on 06december1941. when the two japanese zeros attack the motorboat of senator samuel chapman, the crew of the nimitz rescues the senator and his assistant laurel scott. but sooner lasky learns that the senator had disappeared on that day and capt. matthew yelland is planning to attack the japanese. will these actions create a time paradox?","[0.4295651, 0.5351929, 0.03524196]",1,"[0.34556255, 0.6334138, 0.0210237]",1,"[0.58513117, 0.3347477, 0.08012118]",0,"[0.6714518, 0.22086762, 0.10768062]",0,"[0.7479577, 0.21885844, 0.033183835]",0,"[0.66805416, 0.22517481, 0.106771015]",0
224,tt0107530,"a naive young soldier shocks his family when he returns home on leave accompanied by a worldly older woman whom he introduces as his wife. the young man's mother strongly disapproves of the relationship, and urges him to seek a divorce, but he is blinded by love. the marriage fails, but the young man is brutally murdered before the divorce is final. convinced of his wife's guilt, his mother embarks on a one woman crusade to bring her to justice.","[0.03748378, 0.93087786, 0.031638272]",1,"[0.042404972, 0.92473453, 0.03286056]",1,"[0.23254839, 0.6948003, 0.072651334]",1,"[0.1277777, 0.8003922, 0.071830116]",1,"[0.37700295, 0.5620807, 0.06091636]",1,"[0.33327547, 0.5994825, 0.067242034]",1
225,tt0086712,"cary maxwell is a private investigator and owner of maxwell unlimited. mu specializes in helping people find their lost loves. each week maxwell, along with daisy lloyd and rita hargrove, manage to help yet another heartbroken person reunite with someone from their past.","[0.30587235, 0.6481277, 0.046]",1,"[0.17944114, 0.78246325, 0.038095612]",1,"[0.2638054, 0.6286221, 0.10757252]",1,"[0.1757022, 0.756854, 0.06744385]",1,"[0.6311589, 0.29943117, 0.06940998]",0,"[0.44142467, 0.45761174, 0.10096353]",1
226,tt0099575,"the u.s. government is willing to help any country that requires help in ridding themselves of drugs with support from the army. unfortunately, the drug cartels have countered that offer by hiring one of the best air combat mercenaries and have armed him with a scorpion attack helicopter. the army decides to send in its best people from its apache air combat school. but first they have to be taught how to fly air to air combat missions","[0.7865579, 0.1772223, 0.036219776]",0,"[0.7648158, 0.05057916, 0.18460497]",0,"[0.57593393, 0.33089146, 0.09317457]",0,"[0.6244538, 0.327144, 0.04840222]",0,"[0.9180391, 0.07503033, 0.0069305813]",0,"[0.7605387, 0.21715045, 0.022310857]",0
227,tt0083943,"the soviets have developed a revolutionary new jet fighter, called firefox. naturally, the british are worried that the jet will be used as a first strike weapon, as rumours say that the jet is indetectable on radar. they send ex vietnam war pilot mitchell gant on a covert mission into the soviet union to steal firefox.","[0.43607554, 0.5532107, 0.010713821]",1,"[0.40543956, 0.5847566, 0.0098038465]",1,"[0.37186465, 0.573532, 0.05460338]",1,"[0.30946612, 0.6715737, 0.018960219]",1,"[0.9404628, 0.05165777, 0.007879454]",0,"[0.5105113, 0.4781027, 0.011386012]",0
228,tt0083944,"john j. rambo is a former united states special forces soldier who fought in vietnam and won the congressional medal of honor, but his time in vietnam still haunts him. as he came to hope, washington to visit a friend, he was guided out of town by the sheriff william teasel who insults rambo, but what teasel does not know that his insult angered rambo to the point where rambo became violent and was arrested. as he was at the county jail being cleaned, he escapes and goes on a rampage through the forest to try to escape from the sheriffs who want to kill him. then, as rambo's commanding officer, colonel samuel trautman tries to save both the sheriff's department and rambo before the situation gets out of hand.","[0.2635811, 0.6747844, 0.061634526]",1,"[0.25720283, 0.69770783, 0.04508931]",1,"[0.30833232, 0.60829455, 0.08337313]",1,"[0.29687706, 0.6446374, 0.058485534]",1,"[0.5572474, 0.38979253, 0.052959982]",0,"[0.43862316, 0.4838154, 0.07756145]",1
229,tt0061667,"jack is the sole survivor of a japanese attack on his squad at guadalcanal. because of his heroism and the fact that he is still alive, he becomes a medal of honor hero. he returns to train new recruits for the marines and falls for a girl named peggy. when training and marriage leave him with an empty feeling, he decides on a transfer back to the front lines. soon he will find that marriage and life will change his outlook on the grueling battles that lie ahead.","[0.39239016, 0.47355554, 0.13405436]",1,"[0.39071733, 0.5457322, 0.06355051]",1,"[0.35996488, 0.54441994, 0.09561515]",1,"[0.43240237, 0.42801344, 0.1395842]",0,"[0.8530488, 0.08420343, 0.0627478]",0,"[0.60346854, 0.15927257, 0.23725884]",0
230,tt0043540,the story of a platoon during the korean war. one by one corporal denno's superiors are killed until it comes to the point where he must try to take command responsibility.,"[0.37816015, 0.5933739, 0.028465992]",1,"[0.38562688, 0.5825563, 0.031816825]",1,"[0.39724016, 0.55391693, 0.048842933]",1,"[0.39186993, 0.5733064, 0.034823712]",1,"[0.9772474, 0.007583575, 0.015169052]",0,"[0.51374704, 0.44096163, 0.04529134]",0
231,tt0418689,"in 1945, the marines attack twelve thousand japaneses protecting the twenty square kilometers of the sacred iwo jima island in a very violent battle. when they reach the mount suribachi and six marines raise their flag on the top, the picture becomes a symbol in a post great depression america. the government brings the three survivors to america to raise funds for war, bringing hope to desolate people, and making the three men heroes of the war. however, the traumatized trio has difficulty dealing with the image built by their superiors, sharing the heroism with their mates.","[0.10982815, 0.86044383, 0.029728005]",1,"[0.18346286, 0.7924102, 0.024126954]",1,"[0.17613097, 0.7368579, 0.08701115]",1,"[0.15750231, 0.80241877, 0.040078957]",1,"[0.82660526, 0.04953848, 0.12385626]",0,"[0.130616, 0.8078803, 0.061503734]",1
232,tt0044621,"group commander dan collier, on an aircraft carrier in korean waters during the korean war, starts to think back to the rough days of the air war against japan during world war ii, when he was in the same squadron. in flashbacks, he recalls the arrival of the squadron, led by executive officer joe rodgers, and the campaigns in which the squadron participated and its desperate fight for survival prior to the climax of the war.","[0.4328555, 0.5382282, 0.028916325]",1,"[0.36093885, 0.62200576, 0.01705537]",1,"[0.48991102, 0.4042715, 0.105817474]",0,"[0.37820747, 0.5821644, 0.03962816]",1,"[0.8891777, 0.030297196, 0.08052515]",0,"[0.4776306, 0.49407503, 0.028294366]",1
233,tt0034736,shy sailor casey kirby suddenly becomes known as a sea wolf when his picture is taken with a famous actress. his buddies then make a bet with some other sailors that casey can defrost an icy night club singer known as the countess.,"[0.7309742, 0.2332429, 0.035782963]",0,"[0.4991364, 0.46395132, 0.03691235]",0,"[0.6633766, 0.26414102, 0.07248229]",0,"[0.29168594, 0.6154598, 0.092854336]",1,"[0.9547112, 0.01656287, 0.028725868]",0,"[0.818564, 0.14064856, 0.040787455]",0
234,tt0019884,a marine flyer and his flight school mentor fall for the same beautiful nurse.,"[0.016931623, 0.007124847, 0.9759435]",2,"[0.17881301, 0.08446844, 0.7367186]",2,"[0.07382055, 0.021090627, 0.90508884]",2,"[0.04151771, 0.0121787945, 0.94630355]",2,"[0.22783038, 0.0529258, 0.7192438]",2,"[0.015196302, 0.0034755517, 0.9813281]",2
235,tt0032477,"a rookie flyer, ens. alan drake, joins the famous hellcats squadron right out of flight school in pensacola. he doesn't make a great first impression when he is forced to ditch his airplane and parachute to safety when he arrives at the base but is unable to land due to heavy fog. on his first official outing, his poor shooting skills results in the hellcats losing an air combat competition. his fellow pilots accept him anyway but they think he's crossed the line when they erroneously conclude that while their co billy gray is away, drake has an affair with his wife lorna. drake is now an outcast and is prepared to resign from the navy but his extreme heroism in saving billy gray's life turns things around.","[0.3007809, 0.6587499, 0.040469207]",1,"[0.32277572, 0.65131694, 0.025907349]",1,"[0.38559505, 0.52898395, 0.08542102]",1,"[0.6478228, 0.28636712, 0.065810174]",0,"[0.60743004, 0.32659793, 0.06597209]",0,"[0.4022988, 0.5409974, 0.05670381]",1
236,tt0058104,"flight from ashiya is a 1964 film about the u.s. air force's air rescue service, flying out of ashiya air base, japan. in this fictionalized film set in the early 1960s, a flight crew's mission is to rescue a life raft of japanese civilians stranded in rough seas. the airplane used in the film was the hu albatross, a flying boat.","[0.42023483, 0.5642845, 0.015480626]",1,"[0.34524578, 0.64252406, 0.012230202]",1,"[0.5791929, 0.07519247, 0.3456147]",0,"[0.39869982, 0.56752396, 0.03377625]",1,"[0.82198125, 0.16812497, 0.009893781]",0,"[0.61634505, 0.3619559, 0.021699112]",0
237,tt0034739,"a disgraced pilot determines to regain the respect of both his son, now a test pilot for the army, and the men he once flew with.","[0.30154642, 0.58947265, 0.108980924]",1,"[0.47735232, 0.024316186, 0.49833146]",2,"[0.117077, 0.82574373, 0.057179287]",1,"[0.3226593, 0.6143047, 0.063035905]",1,"[0.75740343, 0.20756388, 0.035032686]",0,"[0.24124712, 0.72358733, 0.03516549]",1
238,tt0046987,this movie is about the war hero flight nurse lillian keil flight nurse army air corps. one of a cadre of first flight nurses in military. lillian is the most decorated woman in military history. she was one of the first flight attendants for pan am then united. back in those days only nurses were hired by airlines. i'm proud to sy that lillian was one of my dearest friends.,"[0.25379857, 0.0313242, 0.7148772]",2,"[0.16630688, 0.023774927, 0.8099182]",2,"[0.30847767, 0.07809147, 0.6134309]",2,"[0.51494175, 0.3364574, 0.14860082]",0,"[0.1112349, 0.031868126, 0.85689694]",2,"[0.32254162, 0.052066885, 0.6253915]",2
239,tt0099587,"after his bombardier is killed, jake cool hand grafton brad johnson', a carrier based intruder pilot, questions the purpose of navy bombing missions. he finds an ally for his cynicism in virgil cole, a bombardier on his third tour of duty, and together they ponder the notion of one unsanctioned mission downtown, to sam city in north vietnam.","[0.90483093, 0.09034237, 0.004826689]",0,"[0.9130786, 0.08169708, 0.005224337]",0,"[0.9030256, 0.08595109, 0.011023289]",0,"[0.9612753, 0.02944477, 0.009279972]",0,"[0.99197376, 0.0051076724, 0.0029185633]",0,"[0.922652, 0.07219703, 0.0051510073]",0
240,tt0038529,a couple on board a plane find themselves mixed up in a plot to steal atomic secrets.,"[0.37756371, 0.5996337, 0.02280258]",1,"[0.22796193, 0.7495593, 0.02247876]",1,"[0.32178745, 0.56743294, 0.11077962]",1,"[0.22944394, 0.7382907, 0.03226537]",1,"[0.84542745, 0.07587724, 0.07869531]",0,"[0.5498774, 0.29931876, 0.1508038]",0
241,tt0025124,"a musical romance with dick powell as a private stationed in hawaii who gets involved with ruby keeler, the general's engaged daughter. in order to avoid a scandal, the pair break up, but meet again years later when powell's at west point producing the annual play that turns out to star keeler.","[0.6476015, 0.24146631, 0.11093225]",0,"[0.38205707, 0.56590647, 0.052036513]",1,"[0.47745427, 0.41278908, 0.109756686]",0,"[0.35406637, 0.574354, 0.07157968]",1,"[0.78717834, 0.16152252, 0.05129908]",0,"[0.6452652, 0.21369548, 0.14103928]",0
242,tt0116329,"amy is only 13 years old when her mother is killed in an auto wreck in new zealand. she goes to canada to live with her father, an eccentric inventor whom she barely knows. amy is miserable in her new life...that is until she discovers a nest of goose eggs that were abandoned when developers began tearing up a local forest. the eggs hatch and amy becomes mama goose. the young birds must fly south for the winter, but who will lead them there? with a pair of ultralight airplanes, amy, her dad and their friends must find a way to do it.","[0.23785412, 0.7460406, 0.016105326]",1,"[0.16495015, 0.8184354, 0.016614476]",1,"[0.3302835, 0.60017127, 0.0695453]",1,"[0.11396512, 0.8247986, 0.061236333]",1,"[0.47051606, 0.4785091, 0.05097481]",1,"[0.34557167, 0.6300762, 0.024352128]",1
243,tt0019886,"the story follows six midshipman after they graduate from annapolis. their goal is to become u.s. navy pilots and three of them are eliminated at the san diego naval base. the remaining three undergo grueling weeks of training at pensacole florida, and one crashes. the remaining two get their wings and are sent back to san diego as full fledged sea hawks, and prepare there for the first honolulu flight.","[0.6099055, 0.37627494, 0.013819626]",0,"[0.49566877, 0.49112025, 0.013211015]",0,"[0.5711387, 0.40258163, 0.026279768]",0,"[0.855027, 0.040412445, 0.10456058]",0,"[0.8458118, 0.14188763, 0.012300627]",0,"[0.6918764, 0.29271173, 0.015411867]",0
244,tt0043547,"major daniel kirby takes command of a squadron of marine fliers just before they are about to go into combat. while the men are well meaning, he finds them undisciplined and prone to always finding excuses to do what is easy rather than what is necessary. the root of the problem is the second in command, capt. carl 'griff' griffin. griff is the best flier in the group but kirby finds him a poor commander who is not prepared to the difficult decision that all commanders have to make to put men in harm's way knowing that they may be killed.","[0.029036595, 0.9172145, 0.053748935]",1,"[0.055260237, 0.8930636, 0.05167619]",1,"[0.07434657, 0.84392536, 0.08172798]",1,"[0.13231198, 0.75681514, 0.11087292]",1,"[0.41798034, 0.5176366, 0.06438302]",1,"[0.071981356, 0.800647, 0.12737158]",1
245,tt0042468,fictional account of the role played by a somewhat impetuous us naval commander in developing the first means of launching missiles from submarines.,"[0.510247, 0.4620362, 0.027716827]",0,"[0.41806453, 0.5635155, 0.018420001]",1,"[0.48554277, 0.43161047, 0.082846776]",0,"[0.47707707, 0.43888015, 0.08404281]",0,"[0.91604644, 0.06336518, 0.020588398]",0,"[0.5775539, 0.39333248, 0.029113598]",0
246,tt0034742,"jim gordon commands a unit of the famed flying tigers, the american volunteer group which fought the japanese in china before america's entry into world war ii. gordon must send his outnumbered band of fighter pilots out against overwhelming odds while juggling the disparate personalities and problems of his fellow flyers. in particular, he must handle the difficulties created by a reckless hot shot pilot named woody jason, who not only wants to fight a one man war but to waltz off with gordon's girlfriend.","[0.31110042, 0.64266616, 0.046233453]",1,"[0.37396026, 0.59443104, 0.031608704]",1,"[0.38532677, 0.4446259, 0.17004728]",1,"[0.45089394, 0.499301, 0.049805105]",1,"[0.97359246, 0.0072128647, 0.019194648]",0,"[0.5290197, 0.41325825, 0.057722054]",0
247,tt0027630,"when the fleet puts in at san francisco, sailor bake baker tries to rekindle the flame with his old dancing partner, sherry martin, while bake's buddy bilge smith romances sherry's sister connie. but it's not all smooth sailing: bake has a habit of losing sherry's jobs for her; and despite connie's dreams, bilge is not ready to settle down.","[0.047679372, 0.9404326, 0.011887989]",1,"[0.031070441, 0.96010333, 0.008826176]",1,"[0.090219215, 0.85678214, 0.052998636]",1,"[0.06959493, 0.85594165, 0.07446345]",1,"[0.17993636, 0.7514915, 0.068572186]",1,"[0.10648003, 0.8522746, 0.04124535]",1
248,tt0101902,"with the help of the singer and dancer dixie leonhard us entertainer eddie sparks wants to bring some fun to the soldiers during world war ii. becoming a perfect team they tour from north africa to the pacific to act for the boys. later they continue their work but when the author silver gets involved into mccarthy's campaign and is being fired by eddie, dixie turns away from him, too.","[0.45193648, 0.26764202, 0.2804215]",0,"[0.44058907, 0.20130308, 0.35810784]",0,"[0.33261314, 0.39983508, 0.26755175]",1,"[0.28692722, 0.5932752, 0.11979767]",1,"[0.82905436, 0.019087752, 0.15185794]",0,"[0.46185502, 0.36664158, 0.17150342]",0
249,tt0043553,"winter, 1943. the german army has halted the american advance in the mountains of italy; back and forth combat decimates joe peterson's platoon. on leave in naples, joe meets wac lieutenant eleanor mackay; initially cool, she begins to melt during a bombing raid. their romance develops despite joe's periodic returns to the front. but whether he'll come back in the end becomes more than doubtful...","[0.06587758, 0.8810318, 0.05309052]",1,"[0.025316348, 0.9613774, 0.013306274]",1,"[0.09166048, 0.8392427, 0.069096856]",1,"[0.069215536, 0.88892645, 0.041858032]",1,"[0.49838263, 0.3286181, 0.17299928]",0,"[0.12764655, 0.8265466, 0.045806836]",1
250,tt0092642,"based on the life of the former first lady, this film depicts the ups and downs of betty ford, the wife of president gerald ford. while betty seems to ease into her prominent role in the ...","[0.38437247, 0.11494625, 0.5006812]",2,"[0.40434426, 0.15896046, 0.43669534]",2,"[0.3397133, 0.34548178, 0.3148049]",1,"[0.2233387, 0.07162122, 0.7050401]",2,"[0.5462282, 0.0454938, 0.4082781]",0,"[0.39958495, 0.14308609, 0.457329]",2
251,tt0104291,a 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. daniel mccormick wants to be frozen for a year so that he doesn't have to watch his love lying in a coma. the next thing daniel knows is that he's been awoken in 1992.,"[0.22693406, 0.76406467, 0.00900128]",1,"[0.23654786, 0.752368, 0.011084227]",1,"[0.33339396, 0.644579, 0.022027072]",1,"[0.15466635, 0.8291934, 0.01614021]",1,"[0.76999515, 0.22205377, 0.007951089]",0,"[0.39897013, 0.58768445, 0.013345424]",1
252,tt0109830,"forrest gump is a simple man with a low i.q. but good intentions. he is running through childhood with his best and only friend jenny. his 'mama' teaches him the ways of life and leaves him to choose his destiny. forrest joins the army for service in vietnam, finding new friends called dan and bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. however, this is all irrelevant to forrest who can only think of his childhood sweetheart jenny curran, who has messed up her life. although in the end all he wants to prove is that anyone can love anyone.","[0.54175097, 0.06917345, 0.38907555]",0,"[0.79967356, 0.027023109, 0.17330337]",0,"[0.24297445, 0.5460388, 0.2109868]",1,"[0.252339, 0.5121202, 0.23554084]",1,"[0.45492437, 0.3101066, 0.23496896]",0,"[0.3478676, 0.34753373, 0.30459875]",0
253,tt0041387,"the truthful soldier stirling didn't know how to lie about his source of information, the talking army mule, francis, so he was treated as a lunatic and led to one after another hilarious situations, where the mule was the only one that appeared in his right mind. in the process of all this, the mule assisted in uncovering a spy, mareen, who pretended to be lost among the jungles.","[0.16143496, 0.8170941, 0.02147096]",1,"[0.24834067, 0.73909557, 0.012563802]",1,"[0.315049, 0.6404808, 0.04447024]",1,"[0.18299276, 0.7835064, 0.033500884]",1,"[0.8749061, 0.10766515, 0.01742876]",0,"[0.39321595, 0.5729421, 0.033842016]",1
